,ISO-code,population,GDPc,mort,Population growth,Fertility,Life expectancy,Suicide rate,Meat consumption,Urbanization rate,Sex-ratio,Country,dev_index,clusters
0,AFG,39835428.0,2078.47908182601,35.2,2.30341213305193,4.176,65.173,4.1,17.3,26.0,1.03,Afghanistan,0.11691310061306966,0
1,ALB,2811666.0,15646.0415226344,7.8,-0.926918061639398,1.58,78.686,4.3,,62.1,0.98,Albania,0.4787819622208277,2
2,DZA,44616626.0,12037.4812354389,16.3,1.73080656616175,2.942,77.063,2.5,18.3,73.7,1.03,Algeria,0.3633706629814416,1
3,AGO,33933611.0,6581.04202131983,27.3,3.19591550765639,5.371,61.487,6.1,19.0,66.8,0.95,Angola,0.21911300034287645,1
4,ATG,98728.0,19837.6501416331,3.5,0.813607937767102,1.978,77.146,0.4,56.0,24.4,0.89,Antigua and Barbuda,0.526468576079329,3
5,ARG,45808747.0,23627.3942944195,4.6,0.947490959333989,2.233,76.813,8.4,79.7,92.1,0.98,Argentina,0.5327497627447797,3
6,ARM,2968128.0,14630.2442233356,5.7,0.165021157387164,1.76,75.224,3.3,27.7,63.3,0.95,Armenia,0.4967783127806447,3
7,AUS,25739256.0,55807.4440245279,2.4,0.178832417987611,1.581,83.2,12.5,108.2,86.2,0.99,Australia,0.6701531617508029,4
8,AUT,8956279.0,58427.4956899576,2.3,0.441053528127571,1.44,81.1926829268293,14.6,94.1,58.7,0.96,Austria,0.6811568992301772,4
9,AZE,10145212.0,15842.8895089134,9.8,0.51477673612851,1.7,73.123,4.1,15.9,56.4,0.98,Azerbaijan,0.454071021200706,2
10,BHS,396914.0,34107.8498310476,6.6,0.927917643334912,1.733,74.053,3.5,123.6,83.2,0.96,The Bahamas,0.5670840418717376,3
11,BHR,1748295.0,45411.1203505007,2.9,2.70820330394115,1.942,77.419,8.9,70.7,89.5,1.53,Bahrain,0.6262865007545274,4
12,BGD,166303494.0,6613.01327474804,17.5,0.975322375425237,1.987,72.868,3.7,3.1,38.2,0.97,Bangladesh,0.3451777937631851,1
13,BRB,287708.0,14816.8628612989,8.1,0.117201302282177,1.628,79.308,0.6,88.7,31.2,0.94,Barbados,0.4734036748728746,2
14,BLR,9340314.0,21698.5740886624,1.0,-0.42347752149173,1.382,74.2268292682927,21.2,58.6,79.5,0.87,Belarus,0.5436526518469798,3
15,BEL,11587882.0,58930.9363265369,2.4,0.377319900784809,1.55,80.7951219512195,18.3,86.1,98.1,0.97,Belgium,0.6831436739684906,4
16,BLZ,404915.0,6921.45007598508,7.7,1.81778782471015,2.246,74.754,7.1,74.7,46.0,1.0,Belize,0.46310015433146395,2
17,BEN,12451031.0,3789.27334657883,29.7,2.66826235050208,4.7,62.077,7.8,16.2,48.4,0.97,Benin,0.18778964378843488,0
18,BTN,779900.0,11129.3084547092,15.3,1.06838733262776,1.931,72.08,4.6,3.0,42.3,1.08,Bhutan,0.37594125394768485,2
19,BOL,11832936.0,9030.38768128724,13.5,1.36058627516658,2.651,71.771,6.2,50.0,70.1,0.98,Bolivia,0.3977689682194677,2
20,BIH,3263459.0,16846.4558595952,4.1,-0.530419132565884,1.243,77.545,10.9,21.4,49.0,0.95,Bosnia and Herzegovina,0.5142586498196837,3
21,BWA,2397240.0,17603.7267520514,21.9,1.92114970473465,2.796,69.793,16.1,27.3,70.9,0.93,Botswana,0.29179593325062386,1
22,BRA,213993441.0,16056.0161749037,8.7,0.672384396316085,1.706,76.084,6.9,82.4,87.1,0.97,Brazil,0.4688966214734376,2
23,BRN,441532.0,66619.8709407373,6.1,0.921264969880013,1.796,75.998,2.7,,78.3,0.96,Brunei,0.7120281325726315,4
24,BGR,6899125.0,26705.438859784,3.0,-0.50444185462845,1.56,73.6073170731707,9.7,69.4,75.7,0.95,Bulgaria,0.5518202050532275,3
25,BFA,21497097.0,2461.94284491403,25.8,2.80119139837514,5.029,61.981,7.5,11.2,30.6,0.96,Burkina Faso,0.23761558642174546,1
26,BDI,12255429.0,793.236434389554,20.9,3.02056284918733,5.237,61.916,6.2,3.5,13.7,0.99,Burundi,0.2997541662464657,1
27,CPV,561901.0,7028.04684564101,8.5,1.05789665088089,2.213,73.166,12.9,26.3,66.7,0.95,Cape Verde,0.4551709856705471,2
28,KHM,16946446.0,4683.00474859418,13.2,1.35140736247482,2.453,70.054,4.9,13.9,24.2,0.95,Cambodia,0.3982328889435144,2
29,CMR,27224262.0,4064.46689476455,26.2,2.52346070051077,4.443,59.626,9.0,14.4,57.6,0.99,Cameroon,0.2327960225847903,1
